row,year,unc_status,comp_major,primary_major,data_science,prereqs,prior_exp,ap_principles,ap_a,other_comp,prior_time,languages,hours_online_social,hours_online_work,lesson_time,sync_perf,all_sync,flipped_class,no_hybrid,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
0,22,Returning UNC Student,No,Mathematics,No,"MATH 233, MATH 347, MATH 381",7-12 months,No,No,UNC,1 month or so,"Python, R / Matlab / SAS",3 to 5 hours,0 to 2 hours,6,2,2,1,2,4,4,0,7,3,7,5,,,1,1,7,5,6,5
1,25,Returning UNC Student,No,Mathematics,Yes,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,4,3,3,1,2,6,4,5,5,5,5,5,7,6,6,6,3,4,6,4
2,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 130, MATH 152, MATH 210",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,3,3,4,2,1,7,7,2,5,6,7,7,4,,6,4,6,7,7,7
3,24,Returning UNC Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Python,3 to 5 hours,3 to 5 hours,5,5,4,3,3,6,5,1,6,3,5,5,5,4,4,4,5,6,6,6
4,25,Incoming First-year Student,Yes - BA,Computer Science,No,MATH 130,None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,7,3,3,3,2,6,3,5,6,6,6,6,7,3,6,5,5,6,6,7
5,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",10+ hours,5 to 10 hours,5,2,2,2,1,5,5,0,7,7,7,7,,,4,3,6,7,7,7
6,25,Incoming First-year Student,Yes - BA,Computer Science,Yes,"MATH 129P, MATH 130",2-6 months,Yes,No,High school course (IB or other),7-12 months,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS, Bash",3 to 5 hours,5 to 10 hours,5,3,3,5,3,7,7,2,7,5,7,5,4,4,4,4,6,7,7,7
7,24,Returning UNC Student,Yes - BA,Neuroscience,No,"MATH 130, MATH 152, MATH 231, MATH 232, MATH 233, MATH 381, PSYC 210, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,1,2,2,1,1,7,7,0,7,7,7,7,7,,4,4,7,7,7,7
8,25,Incoming First-year Student,Yes - BS,Computer Science,Yes,STOR 120,None to less than one month!,,,,,,0 to 2 hours,10+ hours,1,5,4,6,5,7,7,1,7,7,7,7,7,7,5,4,6,7,7,7
9,22,Returning UNC Student,No,Neuroscience,No,"MATH 130, MATH 231, MATH 232, PSYC 210",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,2,2,1,1,7,7,2,7,5,7,7,7,,7,4,6,7,7,7
10,24,Returning UNC Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232",2-6 months,No,No,,2-6 months,"Python, Java / C#",3 to 5 hours,5 to 10 hours,2,4,3,7,2,7,7,0,7,7,7,7,7,7,5,3,7,7,7,7
